Using MPS device for macOS
Using device: mps
Episode 99/3000 | Total reward: 0.00 | Avg loss: 7.3171 | Epsilon: 0.968 | LOSE | MEMORY_SIZE: 199 | SEED: 597
Episode 100/3000 | Total reward: 0.00 | Avg loss: 3.0829 | Epsilon: 0.967 | LOSE | MEMORY_SIZE: 200 | SEED: 597
--- Last 100 episodes ---
Avg reward: 4.70 | Avg loss: 9.8254 | Win rate: 0.0% | Lose rate: 100.0%
-------------------------
Model saved to models/pacman_dqn_v1.8_best_reward.pth
Saved model keys: ['model_state_dict', 'input_size', 'input_shape']
Best avg reward model saved at episode 100 with avg reward 4.70
Model saved to models/pacman_dqn_v1.8_best_winrate.pth
Saved model keys: ['model_state_dict', 'input_size', 'input_shape']
Best win rate model saved at episode 100 with win rate 0.00%
Episode 101/3000 | Total reward: 8.20 | Avg loss: 5.5088 | Epsilon: 0.967 | LOSE | MEMORY_SIZE: 203 | SEED: 597
Episode 102/3000 | Total reward: 0.00 | Avg loss: 2.7537 | Epsilon: 0.967 | LOSE | MEMORY_SIZE: 204 | SEED: 597
Episode 103/3000 | Total reward: 9.10 | Avg loss: 5.0837 | Epsilon: 0.966 | LOSE | MEMORY_SIZE: 206 | SEED: 597
Episode 104/3000 | Total reward: 7.30 | Avg loss: 4.5891 | Epsilon: 0.966 | LOSE | MEMORY_SIZE: 210 | SEED: 597
Episode 105/3000 | Total reward: 15.50 | Avg loss: 5.8476 | Epsilon: 0.966 | LOSE | MEMORY_SIZE: 216 | SEED: 597
Episode 106/3000 | Total reward: 7.30 | Avg loss: 5.5911 | Epsilon: 0.965 | LOSE | MEMORY_SIZE: 220 | SEED: 597
Episode 107/3000 | Total reward: 9.10 | Avg loss: 3.2182 | Epsilon: 0.965 | LOSE | MEMORY_SIZE: 222 | SEED: 597
Episode 108/3000 | Total reward: 0.00 | Avg loss: 4.8540 | Epsilon: 0.965 | LOSE | MEMORY_SIZE: 223 | SEED: 597
Episode 109/3000 | Total reward: 8.20 | Avg loss: 3.7597 | Epsilon: 0.964 | LOSE | MEMORY_SIZE: 226 | SEED: 597
Episode 110/3000 | Total reward: 6.40 | Avg loss: 5.9057 | Epsilon: 0.964 | LOSE | MEMORY_SIZE: 231 | SEED: 597
Episode 111/3000 | Total reward: 8.20 | Avg loss: 3.3849 | Epsilon: 0.964 | LOSE | MEMORY_SIZE: 234 | SEED: 597
Episode 112/3000 | Total reward: 8.20 | Avg loss: 4.4506 | Epsilon: 0.963 | LOSE | MEMORY_SIZE: 237 | SEED: 597
Episode 113/3000 | Total reward: 7.30 | Avg loss: 5.6240 | Epsilon: 0.963 | LOSE | MEMORY_SIZE: 241 | SEED: 597
Episode 114/3000 | Total reward: -0.90 | Avg loss: 9.1810 | Epsilon: 0.963 | LOSE | MEMORY_SIZE: 243 | SEED: 597
Episode 115/3000 | Total reward: -0.90 | Avg loss: 3.6637 | Epsilon: 0.962 | LOSE | MEMORY_SIZE: 245 | SEED: 597
Episode 116/3000 | Total reward: 0.00 | Avg loss: 9.0346 | Epsilon: 0.962 | LOSE | MEMORY_SIZE: 246 | SEED: 597
Episode 117/3000 | Total reward: 0.00 | Avg loss: 4.7852 | Epsilon: 0.962 | LOSE | MEMORY_SIZE: 247 | SEED: 597
Episode 118/3000 | Total reward: -0.90 | Avg loss: 5.6135 | Epsilon: 0.961 | LOSE | MEMORY_SIZE: 249 | SEED: 597
Episode 119/3000 | Total reward: -0.90 | Avg loss: 5.5239 | Epsilon: 0.961 | LOSE | MEMORY_SIZE: 251 | SEED: 597
Episode 120/3000 | Total reward: 6.40 | Avg loss: 6.2517 | Epsilon: 0.961 | LOSE | MEMORY_SIZE: 256 | SEED: 597
Episode 121/3000 | Total reward: 9.10 | Avg loss: 6.3235 | Epsilon: 0.960 | LOSE | MEMORY_SIZE: 258 | SEED: 597
Episode 122/3000 | Total reward: -0.90 | Avg loss: 7.4191 | Epsilon: 0.960 | LOSE | MEMORY_SIZE: 260 | SEED: 597
Episode 123/3000 | Total reward: 17.30 | Avg loss: 4.5281 | Epsilon: 0.960 | LOSE | MEMORY_SIZE: 264 | SEED: 597
Episode 124/3000 | Total reward: 9.10 | Avg loss: 4.6086 | Epsilon: 0.959 | LOSE | MEMORY_SIZE: 266 | SEED: 597
Episode 125/3000 | Total reward: 0.00 | Avg loss: 5.4613 | Epsilon: 0.959 | LOSE | MEMORY_SIZE: 267 | SEED: 597
Episode 126/3000 | Total reward: 0.00 | Avg loss: 4.8939 | Epsilon: 0.959 | LOSE | MEMORY_SIZE: 268 | SEED: 597
Episode 127/3000 | Total reward: 17.30 | Avg loss: 5.5205 | Epsilon: 0.958 | LOSE | MEMORY_SIZE: 272 | SEED: 597
Episode 128/3000 | Total reward: 0.00 | Avg loss: 4.1570 | Epsilon: 0.958 | LOSE | MEMORY_SIZE: 273 | SEED: 597
Episode 129/3000 | Total reward: 9.10 | Avg loss: 5.6134 | Epsilon: 0.958 | LOSE | MEMORY_SIZE: 275 | SEED: 597
Episode 130/3000 | Total reward: 0.00 | Avg loss: 3.4281 | Epsilon: 0.957 | LOSE | MEMORY_SIZE: 276 | SEED: 597
Episode 131/3000 | Total reward: -2.70 | Avg loss: 5.5838 | Epsilon: 0.957 | LOSE | MEMORY_SIZE: 280 | SEED: 597
Episode 132/3000 | Total reward: 0.00 | Avg loss: 6.6454 | Epsilon: 0.957 | LOSE | MEMORY_SIZE: 281 | SEED: 597
Episode 133/3000 | Total reward: 8.20 | Avg loss: 4.9501 | Epsilon: 0.956 | LOSE | MEMORY_SIZE: 284 | SEED: 597
Episode 134/3000 | Total reward: 8.20 | Avg loss: 5.1935 | Epsilon: 0.956 | LOSE | MEMORY_SIZE: 287 | SEED: 597
Episode 135/3000 | Total reward: 0.00 | Avg loss: 4.4869 | Epsilon: 0.956 | LOSE | MEMORY_SIZE: 288 | SEED: 597
Episode 136/3000 | Total reward: -0.90 | Avg loss: 5.9330 | Epsilon: 0.955 | LOSE | MEMORY_SIZE: 290 | SEED: 597
Episode 137/3000 | Total reward: 0.00 | Avg loss: 4.9478 | Epsilon: 0.955 | LOSE | MEMORY_SIZE: 291 | SEED: 597
Episode 138/3000 | Total reward: 8.20 | Avg loss: 3.5635 | Epsilon: 0.955 | LOSE | MEMORY_SIZE: 294 | SEED: 597
Episode 139/3000 | Total reward: 0.00 | Avg loss: 5.9127 | Epsilon: 0.954 | LOSE | MEMORY_SIZE: 295 | SEED: 597
Episode 140/3000 | Total reward: 25.50 | Avg loss: 5.5090 | Epsilon: 0.954 | LOSE | MEMORY_SIZE: 301 | SEED: 597
Episode 141/3000 | Total reward: 0.00 | Avg loss: 8.1372 | Epsilon: 0.954 | LOSE | MEMORY_SIZE: 302 | SEED: 597
Episode 142/3000 | Total reward: 9.10 | Avg loss: 5.3023 | Epsilon: 0.953 | LOSE | MEMORY_SIZE: 304 | SEED: 597
Episode 143/3000 | Total reward: 0.00 | Avg loss: 4.6803 | Epsilon: 0.953 | LOSE | MEMORY_SIZE: 305 | SEED: 597
Episode 144/3000 | Total reward: -0.90 | Avg loss: 4.4826 | Epsilon: 0.953 | LOSE | MEMORY_SIZE: 307 | SEED: 597
Episode 145/3000 | Total reward: 17.30 | Avg loss: 5.6172 | Epsilon: 0.952 | LOSE | MEMORY_SIZE: 311 | SEED: 597
Episode 146/3000 | Total reward: 30.10 | Avg loss: 6.3259 | Epsilon: 0.952 | LOSE | MEMORY_SIZE: 323 | SEED: 597
Episode 147/3000 | Total reward: -0.90 | Avg loss: 6.7570 | Epsilon: 0.952 | LOSE | MEMORY_SIZE: 325 | SEED: 597
Episode 148/3000 | Total reward: 8.20 | Avg loss: 6.2991 | Epsilon: 0.951 | LOSE | MEMORY_SIZE: 328 | SEED: 597
Episode 149/3000 | Total reward: 16.40 | Avg loss: 6.5953 | Epsilon: 0.951 | LOSE | MEMORY_SIZE: 333 | SEED: 597
Episode 150/3000 | Total reward: 9.10 | Avg loss: 7.1514 | Epsilon: 0.951 | LOSE | MEMORY_SIZE: 335 | SEED: 597
Episode 151/3000 | Total reward: 0.00 | Avg loss: 3.4493 | Epsilon: 0.951 | LOSE | MEMORY_SIZE: 336 | SEED: 597
Episode 152/3000 | Total reward: 2.80 | Avg loss: 6.1453 | Epsilon: 0.950 | LOSE | MEMORY_SIZE: 345 | SEED: 597
Episode 153/3000 | Total reward: -0.90 | Avg loss: 8.6552 | Epsilon: 0.950 | LOSE | MEMORY_SIZE: 347 | SEED: 597
Episode 154/3000 | Total reward: 9.10 | Avg loss: 7.5420 | Epsilon: 0.950 | LOSE | MEMORY_SIZE: 349 | SEED: 597
Episode 155/3000 | Total reward: 9.10 | Avg loss: 6.6768 | Epsilon: 0.949 | LOSE | MEMORY_SIZE: 351 | SEED: 597
Episode 156/3000 | Total reward: 8.20 | Avg loss: 8.8513 | Epsilon: 0.949 | LOSE | MEMORY_SIZE: 354 | SEED: 597
Episode 157/3000 | Total reward: 0.00 | Avg loss: 8.1381 | Epsilon: 0.949 | LOSE | MEMORY_SIZE: 355 | SEED: 597
Episode 158/3000 | Total reward: 0.00 | Avg loss: 10.1033 | Epsilon: 0.948 | LOSE | MEMORY_SIZE: 356 | SEED: 597
Episode 159/3000 | Total reward: 24.60 | Avg loss: 7.8116 | Epsilon: 0.948 | LOSE | MEMORY_SIZE: 363 | SEED: 597
Episode 160/3000 | Total reward: 0.00 | Avg loss: 7.5483 | Epsilon: 0.948 | LOSE | MEMORY_SIZE: 364 | SEED: 597
Episode 161/3000 | Total reward: 17.30 | Avg loss: 7.4834 | Epsilon: 0.947 | LOSE | MEMORY_SIZE: 368 | SEED: 597
Episode 162/3000 | Total reward: 16.40 | Avg loss: 6.7189 | Epsilon: 0.947 | LOSE | MEMORY_SIZE: 373 | SEED: 597
Episode 163/3000 | Total reward: 0.00 | Avg loss: 7.0746 | Epsilon: 0.947 | LOSE | MEMORY_SIZE: 374 | SEED: 597
Episode 164/3000 | Total reward: 5.50 | Avg loss: 7.4474 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 380 | SEED: 597
Episode 165/3000 | Total reward: -1.80 | Avg loss: 6.6697 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 383 | SEED: 597
Episode 166/3000 | Total reward: 12.80 | Avg loss: 6.4965 | Epsilon: 0.946 | LOSE | MEMORY_SIZE: 392 | SEED: 597
Episode 167/3000 | Total reward: 9.10 | Avg loss: 6.8921 | Epsilon: 0.945 | LOSE | MEMORY_SIZE: 394 | SEED: 597
Episode 168/3000 | Total reward: 8.20 | Avg loss: 6.9669 | Epsilon: 0.945 | LOSE | MEMORY_SIZE: 397 | SEED: 597
Episode 169/3000 | Total reward: 9.10 | Avg loss: 9.3790 | Epsilon: 0.945 | LOSE | MEMORY_SIZE: 399 | SEED: 597
Episode 170/3000 | Total reward: 0.00 | Avg loss: 9.0190 | Epsilon: 0.944 | LOSE | MEMORY_SIZE: 400 | SEED: 597
Episode 171/3000 | Total reward: 7.30 | Avg loss: 7.5879 | Epsilon: 0.944 | LOSE | MEMORY_SIZE: 404 | SEED: 597
Episode 172/3000 | Total reward: 26.40 | Avg loss: 6.2169 | Epsilon: 0.944 | LOSE | MEMORY_SIZE: 409 | SEED: 597
Episode 173/3000 | Total reward: 0.00 | Avg loss: 10.5640 | Epsilon: 0.943 | LOSE | MEMORY_SIZE: 410 | SEED: 597
Episode 174/3000 | Total reward: 17.30 | Avg loss: 8.2809 | Epsilon: 0.943 | LOSE | MEMORY_SIZE: 414 | SEED: 597
Episode 175/3000 | Total reward: 0.00 | Avg loss: 4.9755 | Epsilon: 0.943 | LOSE | MEMORY_SIZE: 415 | SEED: 597
Episode 176/3000 | Total reward: 0.00 | Avg loss: 7.5181 | Epsilon: 0.942 | LOSE | MEMORY_SIZE: 416 | SEED: 597
Episode 177/3000 | Total reward: 0.00 | Avg loss: 7.8040 | Epsilon: 0.942 | LOSE | MEMORY_SIZE: 417 | SEED: 597
Episode 178/3000 | Total reward: 0.00 | Avg loss: 7.5544 | Epsilon: 0.942 | LOSE | MEMORY_SIZE: 418 | SEED: 597
Episode 179/3000 | Total reward: 8.20 | Avg loss: 6.9997 | Epsilon: 0.941 | LOSE | MEMORY_SIZE: 421 | SEED: 597
Episode 180/3000 | Total reward: 0.00 | Avg loss: 7.9152 | Epsilon: 0.941 | LOSE | MEMORY_SIZE: 422 | SEED: 597
Episode 181/3000 | Total reward: 16.40 | Avg loss: 6.3500 | Epsilon: 0.941 | LOSE | MEMORY_SIZE: 427 | SEED: 597
Episode 182/3000 | Total reward: -0.90 | Avg loss: 7.5403 | Epsilon: 0.940 | LOSE | MEMORY_SIZE: 429 | SEED: 597
Episode 183/3000 | Total reward: 9.10 | Avg loss: 6.0852 | Epsilon: 0.940 | LOSE | MEMORY_SIZE: 431 | SEED: 597
Episode 184/3000 | Total reward: 8.20 | Avg loss: 8.5527 | Epsilon: 0.940 | LOSE | MEMORY_SIZE: 434 | SEED: 597
Episode 185/3000 | Total reward: 8.20 | Avg loss: 7.6374 | Epsilon: 0.939 | LOSE | MEMORY_SIZE: 437 | SEED: 597
Episode 186/3000 | Total reward: 0.00 | Avg loss: 5.0069 | Epsilon: 0.939 | LOSE | MEMORY_SIZE: 438 | SEED: 597
Episode 187/3000 | Total reward: 0.00 | Avg loss: 9.4153 | Epsilon: 0.939 | LOSE | MEMORY_SIZE: 439 | SEED: 597
