Using device: cpu
Episode 93/10000 | Total reward: 0.00 | Avg loss: 8.1340 | Loss std: 0.0000 | Max Q: 6.49 | Min Q: -0.17 | Mean Q: 2.91 | Epsilon: 0.627 | LOSE | Len: 1 | MEMORY_SIZE: 208SEED: 597
Episode 94/10000 | Total reward: 0.00 | Avg loss: 6.1491 | Loss std: 0.0000 | Max Q: 8.12 | Min Q: -0.31 | Mean Q: 3.49 | Epsilon: 0.624 | LOSE | Len: 1 | MEMORY_SIZE: 209SEED: 597
Episode 95/10000 | Total reward: 0.00 | Avg loss: 7.0023 | Loss std: 0.0000 | Max Q: 10.31 | Min Q: -0.51 | Mean Q: 4.42 | Epsilon: 0.621 | LOSE | Len: 1 | MEMORY_SIZE: 210SEED: 597
Episode 96/10000 | Total reward: 0.00 | Avg loss: 3.5589 | Loss std: 0.0000 | Max Q: 13.16 | Min Q: -0.74 | Mean Q: 5.66 | Epsilon: 0.618 | LOSE | Len: 1 | MEMORY_SIZE: 211SEED: 597
Episode 97/10000 | Total reward: 0.00 | Avg loss: 3.3345 | Loss std: 0.0000 | Max Q: 15.62 | Min Q: -0.66 | Mean Q: 6.73 | Epsilon: 0.615 | LOSE | Len: 1 | MEMORY_SIZE: 212SEED: 597
Episode 98/10000 | Total reward: 0.00 | Avg loss: 3.3197 | Loss std: 0.0000 | Max Q: 17.26 | Min Q: -0.49 | Mean Q: 7.46 | Epsilon: 0.612 | LOSE | Len: 1 | MEMORY_SIZE: 213SEED: 597
Episode 99/10000 | Total reward: 8.00 | Avg loss: 2.4775 | Loss std: 0.8025 | Max Q: 23.71 | Min Q: -0.33 | Mean Q: 8.43 | Epsilon: 0.609 | LOSE | Len: 3 | MEMORY_SIZE: 216SEED: 597
Episode 100/10000 | Total reward: 0.00 | Avg loss: 5.9508 | Loss std: 0.0000 | Max Q: 21.97 | Min Q: 0.31 | Mean Q: 9.27 | Epsilon: 0.606 | LOSE | Len: 1 | MEMORY_SIZE: 217SEED: 597
--- Last 100 episodes ---
Avg reward: 5.43 | Avg loss: 4.2031 | Win rate: 0.0% | Lose rate: 100.0%
-------------------------
Episode 101/10000 | Total reward: 0.00 | Avg loss: 5.0526 | Loss std: 0.0000 | Max Q: 23.89 | Min Q: 0.51 | Mean Q: 10.02 | Epsilon: 0.603 | LOSE | Len: 1 | MEMORY_SIZE: 218SEED: 597
Episode 102/10000 | Total reward: -1.00 | Avg loss: 205.5835 | Loss std: 17.3141 | Max Q: 29.72 | Min Q: 0.72 | Mean Q: 11.67 | Epsilon: 0.600 | LOSE | Len: 2 | MEMORY_SIZE: 220SEED: 597
Episode 103/10000 | Total reward: 0.00 | Avg loss: 180.7477 | Loss std: 0.0000 | Max Q: 31.54 | Min Q: 1.13 | Mean Q: 13.65 | Epsilon: 0.597 | LOSE | Len: 1 | MEMORY_SIZE: 221SEED: 597
Episode 104/10000 | Total reward: 0.00 | Avg loss: 171.1555 | Loss std: 0.0000 | Max Q: 34.10 | Min Q: 1.29 | Mean Q: 15.16 | Epsilon: 0.594 | LOSE | Len: 1 | MEMORY_SIZE: 222SEED: 597
Episode 105/10000 | Total reward: 0.00 | Avg loss: 87.4450 | Loss std: 0.0000 | Max Q: 37.01 | Min Q: 1.35 | Mean Q: 17.25 | Epsilon: 0.591 | LOSE | Len: 1 | MEMORY_SIZE: 223SEED: 597
Episode 106/10000 | Total reward: 0.00 | Avg loss: 70.3222 | Loss std: 0.0000 | Max Q: 35.76 | Min Q: 1.21 | Mean Q: 17.76 | Epsilon: 0.588 | LOSE | Len: 1 | MEMORY_SIZE: 224SEED: 597
Episode 107/10000 | Total reward: -1.00 | Avg loss: 63.7000 | Loss std: 2.1544 | Max Q: 34.29 | Min Q: 0.96 | Mean Q: 18.41 | Epsilon: 0.585 | LOSE | Len: 2 | MEMORY_SIZE: 226SEED: 597
