Using MPS device for macOS
Using device: mps
Episode 80/3000 | Total reward: 17.00 | Avg loss: 1.2951 | Epsilon: 0.923 | LOSE | MEMORY_SIZE: 169 | SEED: 597
Episode 81/3000 | Total reward: 17.00 | Avg loss: 1.9250 | Epsilon: 0.922 | LOSE | MEMORY_SIZE: 173 | SEED: 597
Episode 82/3000 | Total reward: 0.00 | Avg loss: 2.2800 | Epsilon: 0.921 | LOSE | MEMORY_SIZE: 174 | SEED: 597
Episode 83/3000 | Total reward: -1.00 | Avg loss: 1.6734 | Epsilon: 0.920 | LOSE | MEMORY_SIZE: 176 | SEED: 597
Episode 84/3000 | Total reward: 7.00 | Avg loss: 1.5417 | Epsilon: 0.919 | LOSE | MEMORY_SIZE: 180 | SEED: 597
Episode 85/3000 | Total reward: 17.00 | Avg loss: 2.0197 | Epsilon: 0.918 | LOSE | MEMORY_SIZE: 184 | SEED: 597
Episode 86/3000 | Total reward: 0.00 | Avg loss: 1.8361 | Epsilon: 0.918 | LOSE | MEMORY_SIZE: 185 | SEED: 597
Episode 87/3000 | Total reward: 9.00 | Avg loss: 1.0069 | Epsilon: 0.917 | LOSE | MEMORY_SIZE: 187 | SEED: 597
Episode 88/3000 | Total reward: 0.00 | Avg loss: 1.7139 | Epsilon: 0.916 | LOSE | MEMORY_SIZE: 188 | SEED: 597
Episode 89/3000 | Total reward: 0.00 | Avg loss: 1.9793 | Epsilon: 0.915 | LOSE | MEMORY_SIZE: 189 | SEED: 597
Episode 90/3000 | Total reward: 8.00 | Avg loss: 1.8930 | Epsilon: 0.914 | LOSE | MEMORY_SIZE: 192 | SEED: 597
Episode 91/3000 | Total reward: 0.00 | Avg loss: 1.0879 | Epsilon: 0.913 | LOSE | MEMORY_SIZE: 193 | SEED: 597
Episode 92/3000 | Total reward: 0.00 | Avg loss: 1.4012 | Epsilon: 0.912 | LOSE | MEMORY_SIZE: 194 | SEED: 597
Episode 93/3000 | Total reward: 0.00 | Avg loss: 1.8328 | Epsilon: 0.911 | LOSE | MEMORY_SIZE: 195 | SEED: 597
Episode 94/3000 | Total reward: 0.00 | Avg loss: 0.4962 | Epsilon: 0.910 | LOSE | MEMORY_SIZE: 196 | SEED: 597
Episode 95/3000 | Total reward: 0.00 | Avg loss: 1.9284 | Epsilon: 0.909 | LOSE | MEMORY_SIZE: 197 | SEED: 597
Episode 96/3000 | Total reward: 0.00 | Avg loss: 0.4887 | Epsilon: 0.908 | LOSE | MEMORY_SIZE: 198 | SEED: 597
Episode 97/3000 | Total reward: 0.00 | Avg loss: 1.2909 | Epsilon: 0.908 | LOSE | MEMORY_SIZE: 199 | SEED: 597
Episode 98/3000 | Total reward: 0.00 | Avg loss: 1.2371 | Epsilon: 0.907 | LOSE | MEMORY_SIZE: 200 | SEED: 597
Episode 99/3000 | Total reward: 0.00 | Avg loss: 1.4315 | Epsilon: 0.906 | LOSE | MEMORY_SIZE: 201 | SEED: 597
Episode 100/3000 | Total reward: 9.00 | Avg loss: 1.4832 | Epsilon: 0.905 | LOSE | MEMORY_SIZE: 203 | SEED: 597
--- Last 100 episodes ---
Avg reward: 4.67 | Avg loss: 5.3064 | Win rate: 0.0% | Lose rate: 100.0%
-------------------------
Model saved to models/pacman_dqn_v1.4_best_reward.pth
Saved model keys: ['model_state_dict', 'input_size', 'input_shape']
Best avg reward model saved at episode 100 with avg reward 4.67
Model saved to models/pacman_dqn_v1.4_best_winrate.pth
Saved model keys: ['model_state_dict', 'input_size', 'input_shape']
Best win rate model saved at episode 100 with win rate 0.00%
Episode 101/3000 | Total reward: 0.00 | Avg loss: 0.8724 | Epsilon: 0.904 | LOSE | MEMORY_SIZE: 204 | SEED: 597
Episode 102/3000 | Total reward: 0.00 | Avg loss: 11.7317 | Epsilon: 0.903 | LOSE | MEMORY_SIZE: 205 | SEED: 597
Episode 103/3000 | Total reward: -1.00 | Avg loss: 9.8287 | Epsilon: 0.902 | LOSE | MEMORY_SIZE: 207 | SEED: 597
Episode 104/3000 | Total reward: 0.00 | Avg loss: 6.5296 | Epsilon: 0.901 | LOSE | MEMORY_SIZE: 208 | SEED: 597
Episode 105/3000 | Total reward: 0.00 | Avg loss: 11.7088 | Epsilon: 0.900 | LOSE | MEMORY_SIZE: 209 | SEED: 597
Episode 106/3000 | Total reward: 0.00 | Avg loss: 5.8798 | Epsilon: 0.899 | LOSE | MEMORY_SIZE: 210 | SEED: 597
Episode 107/3000 | Total reward: 0.00 | Avg loss: 6.6878 | Epsilon: 0.898 | LOSE | MEMORY_SIZE: 211 | SEED: 597
Episode 108/3000 | Total reward: 17.00 | Avg loss: 6.8176 | Epsilon: 0.898 | LOSE | MEMORY_SIZE: 215 | SEED: 597
Episode 109/3000 | Total reward: 9.00 | Avg loss: 6.3932 | Epsilon: 0.897 | LOSE | MEMORY_SIZE: 217 | SEED: 597
Episode 110/3000 | Total reward: 18.00 | Avg loss: 4.7507 | Epsilon: 0.896 | LOSE | MEMORY_SIZE: 220 | SEED: 597
Episode 111/3000 | Total reward: 9.00 | Avg loss: 4.4663 | Epsilon: 0.895 | LOSE | MEMORY_SIZE: 222 | SEED: 597
Episode 112/3000 | Total reward: 9.00 | Avg loss: 6.6550 | Epsilon: 0.894 | LOSE | MEMORY_SIZE: 224 | SEED: 597
Episode 113/3000 | Total reward: 18.00 | Avg loss: 2.4848 | Epsilon: 0.893 | LOSE | MEMORY_SIZE: 227 | SEED: 597
Episode 114/3000 | Total reward: 0.00 | Avg loss: 3.9100 | Epsilon: 0.892 | LOSE | MEMORY_SIZE: 228 | SEED: 597
Episode 115/3000 | Total reward: 9.00 | Avg loss: 3.1381 | Epsilon: 0.891 | LOSE | MEMORY_SIZE: 230 | SEED: 597
Episode 116/3000 | Total reward: 0.00 | Avg loss: 4.6758 | Epsilon: 0.890 | LOSE | MEMORY_SIZE: 231 | SEED: 597
Episode 117/3000 | Total reward: 18.00 | Avg loss: 3.7653 | Epsilon: 0.890 | LOSE | MEMORY_SIZE: 234 | SEED: 597
Episode 118/3000 | Total reward: 6.00 | Avg loss: 2.8104 | Epsilon: 0.889 | LOSE | MEMORY_SIZE: 239 | SEED: 597
Episode 119/3000 | Total reward: 8.00 | Avg loss: 1.6091 | Epsilon: 0.888 | LOSE | MEMORY_SIZE: 242 | SEED: 597
Episode 120/3000 | Total reward: 8.00 | Avg loss: 2.5353 | Epsilon: 0.887 | LOSE | MEMORY_SIZE: 245 | SEED: 597
Episode 121/3000 | Total reward: 7.00 | Avg loss: 1.6360 | Epsilon: 0.886 | LOSE | MEMORY_SIZE: 249 | SEED: 597
Episode 122/3000 | Total reward: -1.00 | Avg loss: 1.4824 | Epsilon: 0.885 | LOSE | MEMORY_SIZE: 251 | SEED: 597
Episode 123/3000 | Total reward: -1.00 | Avg loss: 1.5905 | Epsilon: 0.884 | LOSE | MEMORY_SIZE: 253 | SEED: 597
Episode 124/3000 | Total reward: 0.00 | Avg loss: 0.8756 | Epsilon: 0.883 | LOSE | MEMORY_SIZE: 254 | SEED: 597
Episode 125/3000 | Total reward: 0.00 | Avg loss: 0.7591 | Epsilon: 0.882 | LOSE | MEMORY_SIZE: 255 | SEED: 597
