episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
171,8.2,6.866880893707275,1.7971474731783792,0.0,0,1,3,7.414038,-1.0047046,2.6666298,0.988846
172,9.1,7.037940263748169,1.3834617137908936,0.0,0,1,2,7.3325057,-0.9837669,2.6052697,0.98878
173,0,1.8657605648040771,0.0,0.0,0,1,1,7.2598596,-0.96655196,2.648447,0.988714
174,7.299999999999999,5.664335250854492,2.0189242555445426,0.0,0,1,4,7.271408,-0.9645997,2.5939586,0.988648
175,26.4,5.964993286132812,2.002435251000576,0.0,0,1,5,7.38154,-0.9492884,2.600715,0.988582
176,0,5.580435752868652,0.0,0.0,0,1,1,7.507573,-0.91998535,2.7140496,0.988516
177,17.3,7.198930263519287,1.7181286063465273,0.0,0,1,4,7.5361814,-0.9119836,2.6274338,0.98845
178,0,8.855493545532227,0.0,0.0,0,1,1,7.4944057,-0.886462,2.7242677,0.988384
179,0,8.149181365966797,0.0,0.0,0,1,1,7.448609,-0.87991714,2.7048311,0.988318
180,0,4.10321044921875,0.0,0.0,0,1,1,7.420291,-0.875864,2.6914802,0.988252
181,0,9.233981132507324,0.0,0.0,0,1,1,7.409071,-0.8728212,2.6873426,0.988186
182,8.2,5.73772398630778,0.9351378179794787,0.0,0,1,3,7.377906,-0.86883205,2.5806315,0.98812
183,0,7.280397891998291,0.0,0.0,0,1,1,7.307903,-0.85959023,2.6343555,0.988054
184,16.4,6.185587310791016,0.7657718518569251,0.0,0,1,5,7.295428,-0.86176074,2.511175,0.987988
185,-0.9,5.910549879074097,0.455491304397583,0.0,0,1,2,7.3466954,-0.87716395,2.5822012,0.987922
186,9.1,5.9772560596466064,0.7494704723358154,0.0,0,1,2,7.376871,-0.8801305,2.529643,0.987856
187,8.2,6.984651247660319,1.2863437061469132,0.0,0,1,3,7.4590893,-0.89103544,2.5380805,0.98779
188,8.2,5.954833030700684,0.6664042014545892,0.0,0,1,3,7.4743867,-0.89396995,2.54198,0.987724
189,0,7.421187877655029,0.0,0.0,0,1,1,7.5053554,-0.9022302,2.584168,0.987658
190,0,7.699970245361328,0.0,0.0,0,1,1,7.522281,-0.9068222,2.585797,0.987592
191,0,7.889535427093506,0.0,0.0,0,1,1,7.524489,-0.90942967,2.5830863,0.987526
192,-0.9,6.617528200149536,0.840773344039917,0.0,0,1,2,7.507301,-0.91071373,2.5710127,0.98746
193,0,7.184432506561279,0.0,0.0,0,1,1,7.47462,-0.90926117,2.5614638,0.987394
194,7.3,4.409311234951019,0.662272173895838,0.0,0,1,4,7.4596477,-0.91049623,2.5231137,0.987328
195,15.500000000000002,6.161988814671834,0.6495173956510183,0.0,0,1,6,7.460029,-0.90116614,2.455237,0.987262
196,9.1,8.417923212051392,0.6957080364227295,0.0,0,1,2,7.4424195,-0.896465,2.5280354,0.987196
197,9.1,6.845763683319092,0.8120036125183105,0.0,0,1,2,7.390077,-0.8944639,2.4923184,0.98713
198,8.2,6.561588287353516,1.2964193970549134,0.0,0,1,3,7.3214946,-0.8894256,2.4744182,0.987064
199,9.1,5.310471773147583,2.0411431789398193,0.0,0,1,2,7.233259,-0.8807271,2.4862437,0.986998
200,25.5,6.489019870758057,1.3860122010239264,0.0,0,1,6,7.2317286,-0.88775426,2.4341874,0.986932
201,18.2,7.254707495371501,0.2721740976439272,0.0,0,1,3,7.144702,-0.89356697,2.4236796,0.986866
202,0,3.4352264404296875,0.0,0.0,0,1,1,7.097723,-0.88739043,2.5064592,0.9868
203,-0.9,6.620717287063599,0.9797141551971436,0.0,0,1,2,7.0909348,-0.8876896,2.503931,0.986734
204,-0.9,4.196324825286865,0.9602017402648926,0.0,0,1,2,7.084636,-0.8880603,2.506831,0.986668
205,9.1,6.494626998901367,0.8458919525146484,0.0,0,1,2,7.1174526,-0.8924533,2.4416738,0.986602
206,0,10.205284118652344,0.0,0.0,0,1,1,7.186071,-0.9044676,2.563907,0.986536
207,8.2,7.723498662312825,2.4236662515196867,0.0,0,1,3,7.202875,-0.90369624,2.5022354,0.98647
208,9.1,7.246293067932129,0.5359077453613281,0.0,0,1,2,7.2878437,-0.9044718,2.5317593,0.986404
209,9.1,6.3234875202178955,0.12250685691833496,0.0,0,1,2,7.2767987,-0.8909247,2.556418,0.986338
210,-0.9,6.692423582077026,0.6748106479644775,0.0,0,1,2,7.2551737,-0.88062906,2.633239,0.986272
