episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
96,8.0,5.964770476023356,0.5609536558776224,0.0,0,1,3,7.1019235,-0.9114409,2.4285772,0.9093297114626595
97,0,5.907410144805908,0.0,0.0,0,1,1,7.157162,-0.93056446,2.4317055,0.9084203817511969
98,0,4.568199157714844,0.0,0.0,0,1,1,7.191266,-0.94244593,2.429943,0.9075119613694457
99,8.0,6.400145053863525,1.7262068474966505,0.0,0,1,3,7.2765594,-0.97005403,2.4249601,0.9066044494080763
100,0,5.704800605773926,0.0,0.0,0,1,1,7.366198,-0.990684,2.4490535,0.9056978449586682
101,9.0,5.358751535415649,0.6588461399078369,0.0,0,1,2,7.4119444,-0.99899375,2.4470768,0.9047921471137096
102,25.0,31.499371846516926,2.993749766591351,0.0,0,1,6,8.572801,-1.0207846,2.6618133,0.9038873549665959
103,26.0,25.011250305175782,5.500759154390396,0.0,0,1,5,10.716902,-0.72555065,3.4534338,0.9029834676116293
104,9.0,17.11893653869629,0.7447261810302734,0.0,0,1,2,11.767715,-0.13249482,4.166903,0.9020804841440176
105,18.0,13.493207931518555,3.2629890208834915,0.0,0,1,3,13.289459,-0.08941558,4.7201767,0.9011784036598737
106,0,15.659525871276855,0.0,0.0,0,1,1,14.023944,-0.09026809,5.2242284,0.9002772252562138
107,9.0,10.35856819152832,1.4614982604980469,0.0,0,1,2,14.768936,-0.081494875,5.526685,0.8993769480309576
108,0,9.309499740600586,0.0,0.0,0,1,1,15.382928,-0.07754516,5.898042,0.8984775710829266
109,8.0,9.3838898340861,2.637587682619624,0.0,0,1,3,16.317368,-0.065229,6.262891,0.8975790935118436
110,6.0,9.683808994293212,2.0989260207279585,0.0,0,1,5,17.028536,-0.009108931,6.863513,0.8966815144183318
111,8.0,7.7252828280131025,3.1440047772108293,0.0,0,1,3,17.010185,-0.0050682686,7.1418524,0.8957848329039134
112,8.0,9.297169049580893,2.0850393843296753,0.0,0,1,3,16.596579,-0.012980834,7.0940213,0.8948890480710096
113,7.0,7.2703245878219604,0.957404918217683,0.0,0,1,4,15.902601,-0.010939904,6.924651,0.8939941590229386
114,-1.0,8.433217525482178,1.1147494316101074,0.0,0,1,2,14.991246,0.0327193,6.837087,0.8931001648639156
115,-1.0,5.657402276992798,1.1360089778900146,0.0,0,1,2,14.586538,0.017781321,6.7385683,0.8922070646990518
116,0,6.193734169006348,0.0,0.0,0,1,1,14.268346,0.0071309544,6.680131,0.8913148576343527
117,0,5.888089656829834,0.0,0.0,0,1,1,14.1499,-0.00064587966,6.6501555,0.8904235427767183
118,-1.0,9.318553924560547,0.0753326416015625,0.0,0,1,2,14.049539,-0.0016742088,6.6089234,0.8895331192339416
119,-1.0,6.018427610397339,0.18441271781921387,0.0,0,1,2,13.865186,-0.0009669624,6.560407,0.8886435861147077
120,6.0,7.088420295715332,1.1517172181664281,0.0,0,1,5,13.950855,-0.036273688,6.550653,0.887754942528593
121,9.0,6.484774112701416,0.06711721420288086,0.0,0,1,2,14.088048,-0.06264612,6.645156,0.8868671875860644
122,-1.0,6.547031402587891,0.9863758087158203,0.0,0,1,2,14.367493,-0.080154,6.7607055,0.8859803203984784
123,17.0,6.667504549026489,1.6613715274940855,0.0,0,1,4,14.456556,-0.07412563,6.7639437,0.88509434007808
124,9.0,6.653640031814575,0.23056530952453613,0.0,0,1,2,14.752689,-0.026545417,6.8424745,0.8842092457380019
125,0,7.361354827880859,0.0,0.0,0,1,1,14.818536,-0.009932324,6.914232,0.8833250364922639
126,0,7.062432765960693,0.0,0.0,0,1,1,14.8479,-0.0015140064,6.920044,0.8824417114557717
127,17.0,7.792014122009277,0.0826183969463836,0.0,0,1,4,14.877049,0.002446901,6.8181014,0.8815592697443159
128,0,6.129433631896973,0.0,0.0,0,1,1,14.874817,0.030666053,6.894525,0.8806777104745716
129,9.0,5.900616407394409,0.0056955814361572266,0.0,0,1,2,14.876354,0.029488299,6.818733,0.8797970327640969
130,17.0,6.784733533859253,1.8404317162263142,0.0,0,1,4,14.90602,0.021773174,6.8046265,0.8789172357313328
131,0,6.8499345779418945,0.0,0.0,0,1,1,14.968583,0.03234625,6.858587,0.8780383184956015
132,0,8.616303443908691,0.0,0.0,0,1,1,14.970041,0.037238736,6.8513703,0.8771602801771059
133,8.0,9.103853861490885,1.0733152051432089,0.0,0,1,3,14.952788,0.01472339,6.7358556,0.8762831198969288
134,8.0,6.199573198954265,1.8063419284331803,0.0,0,1,3,14.83958,0.003059443,6.700986,0.8754068367770318
135,0,5.263156890869141,0.0,0.0,0,1,1,14.81216,-0.0075741336,6.711821,0.8745314299402548
136,-1.0,7.38832426071167,0.627718448638916,0.0,0,1,2,14.823092,-0.062252533,6.703387,0.8736568985103146
137,0,7.847973823547363,0.0,0.0,0,1,1,14.833095,-0.08120057,6.6982775,0.8727832416118043
138,15.0,5.483245134353638,0.9615099483059106,0.0,0,1,6,14.902286,-0.107090145,6.6751423,0.8719104583701925
139,27.0,8.234381794929504,3.6539831644780825,0.0,0,1,4,15.17903,-0.064591125,6.8087068,0.8710385479118223
140,18.0,6.380515098571777,1.7303642665952466,0.0,0,1,3,15.232718,0.017128732,6.868633,0.8701675093639105
141,0,6.123479843139648,0.0,0.0,0,1,1,15.270747,0.04872057,6.9711266,0.8692973418545467
142,-1.0,7.97832727432251,1.2741789817810059,0.0,0,1,2,15.275351,0.014901023,6.95931,0.8684280445126921
143,17.0,5.776435017585754,0.9133283585156856,0.0,0,1,4,15.266836,-0.027913895,6.8333206,0.8675596164681794
144,29.0,7.451204737027486,2.0856847486077443,0.0,0,1,12,15.251365,-0.031677455,6.743151,0.8666920568517111
145,8.0,8.326034704844156,1.8937488493190602,0.0,0,1,3,15.210858,0.008792911,6.8691287,0.8658253647948594
146,9.0,9.601987361907959,0.3712897300720215,0.0,0,1,2,15.004607,0.04051281,6.802723,0.8649595394300645
147,16.0,9.71038007736206,2.0773314751330676,0.0,0,1,5,14.829676,0.049271744,6.6912584,0.8640945798906344
148,9.0,6.8060102462768555,0.7242698669433594,0.0,0,1,2,14.453445,0.096701644,6.6726103,0.8632304853107438
149,0,7.382031440734863,0.0,0.0,0,1,1,14.465583,0.13036868,6.783857,0.862367254825433
150,22.0,9.125503698984781,2.825626977667239,0.0,0,1,9,14.549304,0.11026129,6.7465944,0.8615048875706075
